race_id,driver_id,races_with_pit_data_previous_3,avg_pit_stop_time_previous_3_races,best_pit_stop_time_previous_3_races,worst_pit_stop_time_previous_3_races,total_pit_stops_previous_3_races,avg_total_pit_time_previous_3_races,avg_pit_stop_rank_previous_3_races
2011_13,hamilton,3,20.796222222222223,13.173,21.895,10,67.65866666666668,14.0
2011_13,michael_schumacher,3,20.635944444444448,19.93,21.948,8,54.904666666666664,11.0
2011_13,massa,3,21.48008333333333,20.185,22.453,10,71.69366666666667,18.666666666666668
2011_13,alguersuari,3,21.959583333333335,21.062,23.734,5,55.191,8.0
2011_13,resta,3,21.92672222222222,20.801,23.676,7,50.964333333333336,7.666666666666667
2011_13,bruno_senna,1,21.83966666666667,13.968,30.795,3,65.519,17.0
2011_13,buemi,3,22.758583333333334,20.36,27.301,5,56.211999999999996,10.5
2011_13,maldonado,3,21.320333333333334,13.186,23.397,9,63.41066666666666,11.0
2011_13,barrichello,3,27.432033333333337,20.58,47.753,8,106.8105,22.5
2011_13,kovalainen,3,22.637922222222226,20.99,28.539,10,75.36833333333334,16.0
2011_13,trulli,3,22.469749999999998,21.484,23.118,3,33.3805,4.0
2011_13,glock,3,22.246472222222224,13.914,35.092,9,67.39966666666668,12.333333333333334
2011_13,ricciardo,3,23.217333333333332,21.651,24.053,6,46.06999999999999,8.333333333333334
2011_13,perez,3,21.675472222222222,13.201,27.247,9,63.286333333333324,14.0
2011_13,kobayashi,3,22.13372222222222,20.882,24.161,7,51.80466666666667,9.0
2011_13,sutil,3,21.394833333333334,20.589,22.773,8,57.088,9.0
2011_13,webber,3,19.447155555555558,20.324,21.299,10,62.463,12.0
2011_13,ambrosio,3,24.781499999999998,20.762,49.849,8,69.325,14.0
2011_13,petrov,3,21.956500000000002,20.572,25.532,8,59.361,9.333333333333334
2011_13,rosberg,3,21.238472222222224,19.939,23.244,9,63.38133333333334,14.0
2011_13,liuzzi,3,24.099566666666664,21.766,30.959,8,64.738,12.666666666666666
2011_14,vettel,3,21.03477777777778,19.664,22.124,8,55.854000000000006,7.0
2011_14,button,3,21.99683333333333,20.046,26.046,8,58.698,9.0
2011_14,webber,3,18.826900000000002,20.947,21.122,7,62.663000000000004,8.0
2011_14,alonso,3,21.640500000000003,19.936,23.208,8,57.64033333333333,9.0
2011_14,hamilton,3,21.24705555555556,13.173,22.083,9,61.684666666666665,9.0
2011_14,resta,3,21.71472222222222,20.801,23.069,7,50.54033333333333,7.0
2011_14,rosberg,3,21.629375,19.939,23.244,6,64.387,12.0
2011_14,sutil,3,21.66275,20.589,22.773,6,64.773,12.0
2011_14,massa,3,21.87136111111111,21.138,22.453,9,65.53933333333333,13.333333333333334
2011_14,perez,3,20.290208333333332,13.201,26.092,7,70.48349999999999,14.0
2011_14,maldonado,3,21.8235,13.186,23.397,9,64.417,12.333333333333334
