race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2012_07,kobayashi,12,19.0,0,19.0
2012_07,massa,14,10.0,0,10.0
2012_07,resta,11,21.0,0,21.0
2012_07,hulkenberg,15,7.0,0,7.0
2012_07,maldonado,9,29.0,1,39.0
2012_07,ricciardo,18,2.0,0,2.0
2012_07,vergne,16,4.0,0,4.0
2012_07,button,7,45.0,1,55.0
2012_07,bruno_senna,13,15.0,0,15.0
2012_07,kovalainen,21,0.0,0,0.0
2012_07,petrov,22,0.0,0,0.0
2012_07,pic,23,0.0,0,0.0
2012_07,glock,19,0.0,0,0.0
2012_07,michael_schumacher,17,2.0,0,2.0
2012_07,rosa,24,0.0,0,0.0
2012_07,karthikeyan,20,0.0,0,0.0
2012_08,alonso,2,86.0,1,96.0
2012_08,raikkonen,6,55.0,0,55.0
2012_08,michael_schumacher,17,2.0,0,2.0
2012_08,webber,4,79.0,1,89.0
2012_08,hulkenberg,15,7.0,0,7.0
2012_08,rosberg,5,67.0,1,77.0
2012_08,resta,12,21.0,0,21.0
2012_08,button,8,45.0,1,55.0
2012_08,perez,9,37.0,0,37.0
2012_08,bruno_senna,13,15.0,0,15.0
2012_08,ricciardo,18,2.0,0,2.0
